Comment,Designator,Footprint,LCSC Part#,Manufacturer Part Number,Name,Quantity
"CAP, 4.7uF, 16V, ±10%, X5R, 0603","1, 2",C0603,C19666,CL10A475KO8NNNC,4.7uF,2
"Samsung Electro-Mechanics 0603 CL 1μF Ceramic Multilayer Capacitor, 16 V, +85°C, X5R Dielectric, ±10% SMD","3, 4, 5, C6, 7, 8, 9, 11, C12, 20",C0805,C1592,CL10A105KO8NNNC,1uF 16V,10
Cap Ceramic 10uF 25V X5R 10% SMD 0805 85C Embossed T/R,"13, 16, C17",C0603,C89831,CC0805KKX5R8BB106,10uF 25V,3
"Ceramic SMT capacitor 100nF 50Vdc Murata 0603 GRM 100nF Ceramic Multilayer Capacitor, 50 V dc, +125?C, X7R Dielectric, ?10%","C10, C14, C15, 18, C19, C21",C0603,C77055,GRM188R71H104KA93D,100nF 50V,6
"Schottky Power Rectifier, 2-Pin SOD-123, Pb-Free, Tape and Reel","D1, D2, D3",SOD-123,C7436545,MBR0530T1G,0.5A 30V,3
9.4A 18.6V 5.6V Bidirectional 5V SOD-523 ESD and Surge Protection (TVS/ESD) ROHS,"D4, D5, D6",SOD-523,C383211,LESD5D5.0CT1G,TVS Bidirectional Diode,3
DIODE SCHOTTKY 40V 1A SOD123,D7,SOD-123,C82544,1N5819HW-7-F,40V 1A,1
LED RED 0603 SMD,D8,D0603,C83242,VLMS1300-GS08,Red LED,1
LED BLUE 0603 SMD,D9,D0603,C435849,VLMB1300-GS08,Blue LED,1
"Micro-USB B Receptacle, Right Angle, Bottom Mount, Surface Mount, with Solder Tabs, -30 to 85 degC, 5-Pin USB, RoHS, Tape and Reel",J1,105017-0001,C136000,1050170001,Micro USB,1
FFC & FPC Connectors 24POS .5MM,J2,FFC-SMD_24P-P0.50_FH34SRJ-24S-0.5SH,C324726,FH34SRJ-24S-0.5SH(50),FPC24,1
68 µH Shielded Multilayer Inductor 2 mA 2.9Ohm Max 0805 (2012 Metric),L1,L0805,C275376,MLF2012C680KT000,68uH ,1
MOSFET N-CH 30V 1.4A SC-70-3,Q1,SOT-323,C469327,SI1308EDL-T1-GE3,SI1308EDL Mosfet,1
Res Thick Film 0603 10kΩ 1% 0.1W ±100ppm/°C ,"R1, R5, R6, R7, R8",R0603,C191124,ERJ3EKF1002V,10k,5
"RES, 0603, 0.47 ohm, 5%, 0.1W",R2,R0603,C23411,0603WAF470LT5E,0.47,1
"RES Thick Film, 5.1kΩ, 1%, 0.1W, 100ppm/°C, 0603","R3, R4",R0603,C103686,RTT035101FTP,5.1k,2
SWITCH TACTILE SPST-NO 0.05A 16V,"SW1, SW2",PTS810 SJM 250 SMTR LFS,C116501,PTS810SJM250SMTRLFS,Tactile Switch,2
"LDO Voltage Regulators 1A, 3.3V",U1,SOT-223-3,C2992570,AMS1117-3.3,"LDO Voltage Regulators 1A, 3.3V",1
ESP32-S3-WROOM-1-N16R8,U2,ESP32-S3-WROOM-1-N16R8,C2913202,ESP32-S3-WROOM-1-N16R8,ESP32-S3,1
SENSOR HUMIDITY 100 RH SMD,U3,SHT40-AD1B-R2,C2909890,SHT40-AD1B-R2,SHT40,1
